,Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,code_3,continent,sub_region,average,91-20,20-21,21-22
0,Afghanistan,AFG,10.65,10.82,10.72,10.73,11.18,10.96,10.78,10.8,10.81,10.81,10.81,11.26,11.14,10.99,11.22,11.1,11.3,11.09,11.31,11.35,11.05,11.34,11.19,11.14,11.13,11.16,11.18,11.15,11.22,11.71,13.28,AFG,Asia,Southern Asia,11.141290322580646,-0.16000000000000014,-0.5399999999999991,-0.3600000000000012
1,Albania,ALB,10.31,30.01,25.26,20.84,14.61,13.93,16.88,20.05,20.84,19.03,18.58,17.9,16.99,16.31,15.97,15.63,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.05,17.19,15.42,13.62,12.3,11.47,13.33,11.82,ALB,Europe,Southern Europe,16.318064516129038,-8.72,4.940000000000001,0.7599999999999998
2,Algeria,DZA,20.6,24.38,26.23,27.74,31.84,28.53,25.43,26.66,28.3,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.21,11.21,10.2,10.33,10.42,10.51,12.55,12.7,DZA,Africa,Northern Africa,17.926129032258057,-9.169999999999998,19.81,-2.59
3,Angola,AGO,4.21,4.21,4.23,4.16,4.11,4.1,4.09,4.07,4.05,4.03,4.0,3.96,3.96,3.92,3.88,3.86,3.82,3.79,3.78,9.43,7.36,7.35,7.37,7.37,7.39,7.41,7.41,7.42,7.42,8.33,8.53,AGO,Africa,Middle Africa,5.452258064516129,0.17999999999999972,-5.3999999999999995,1.0999999999999996
4,Argentina,ARG,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15.0,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,7.52,8.11,8.35,9.22,9.84,11.46,10.9,ARG,Americas,South America,10.977741935483873,-9.559999999999999,7.29,-3.750000000000001
5,Armenia,ARM,1.6,1.8,5.3,6.6,6.7,9.3,10.8,9.4,11.2,11.05,10.91,10.78,10.59,10.34,10.2,10.0,9.81,14.39,18.44,19.01,18.44,17.3,16.18,17.5,18.26,17.62,17.7,18.97,18.3,21.21,20.9,ARM,Asia,Western Asia,12.922580645161288,-9.450000000000001,-7.960000000000001,-2.1999999999999993
6,Australia,AUS,9.58,10.73,10.87,9.72,8.47,8.51,8.36,7.68,6.87,6.28,6.74,6.37,5.93,5.39,5.03,4.78,4.38,4.23,5.56,5.21,5.08,5.22,5.66,6.08,6.05,5.71,5.59,5.3,5.16,6.46,5.11,AUS,Oceania,Australia and New Zealand,6.519677419354841,3.3,1.0700000000000003,-1.25
7,Austria,AUT,3.42,3.59,4.25,3.54,4.35,5.28,5.15,5.52,4.7,4.69,4.01,4.85,4.78,5.83,5.63,5.24,4.86,4.13,5.3,4.82,4.56,4.87,5.33,5.62,5.72,6.01,5.5,4.85,4.49,5.36,6.3,AUT,Europe,Western Europe,4.920967741935484,-1.2700000000000005,-0.1299999999999999,-0.54
8,Azerbaijan,AZE,0.9,1.8,4.5,6.3,7.2,8.1,9.1,10.0,10.9,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5.0,5.0,4.9,4.85,6.46,6.58,AZE,Asia,Western Asia,6.592580645161291,-10.879999999999999,6.1499999999999995,-0.8300000000000001
9,"Bahamas, The",BHS,12.17,14.81,12.72,13.83,10.83,11.46,9.76,7.65,7.45,7.2,6.87,9.05,10.84,10.2,10.2,7.54,7.88,8.18,14.25,14.31,14.52,14.02,16.18,13.8,12.0,12.7,9.8,10.0,10.06,13.32,13.24,BHS,Americas,Caribbean,11.188387096774195,4.97,-7.11,0.9900000000000002
10,Bahrain,BHR,1.01,1.05,1.01,1.11,1.08,1.08,1.09,1.08,1.09,1.08,1.11,1.11,1.09,1.09,1.09,1.1,1.09,1.11,1.14,1.13,1.18,1.2,1.18,1.19,1.2,1.19,1.18,1.2,1.2,1.78,1.87,BHR,Asia,Western Asia,1.1648387096774193,-0.07000000000000006,-0.04999999999999982,-0.6500000000000001
11,Bangladesh,BGD,2.2,2.33,2.36,2.38,2.48,2.51,2.69,2.9,3.06,3.27,3.62,3.9,4.32,4.26,4.25,3.59,4.13,4.57,5.0,3.38,3.77,4.12,4.43,4.38,4.37,4.35,4.37,4.41,4.44,5.41,5.23,BGD,Asia,Southern Asia,3.7574193548387087,-1.0699999999999998,-0.10999999999999988,-2.0300000000000002
12,Barbados,BRB,22.67,22.94,24.54,22.98,19.66,14.71,14.61,12.4,10.61,9.35,9.85,10.32,11.0,9.57,9.08,8.73,7.41,8.12,10.02,10.69,11.19,11.59,11.55,12.17,9.8,8.25,8.62,8.32,8.41,10.38,10.41,BRB,Americas,Caribbean,12.256451612903227,13.320000000000002,-1.3399999999999999,0.3099999999999987
13,Belarus,BLR,0.6,3.1,8.5,12.8,17.7,24.4,17.1,14.0,12.8,12.26,11.55,10.91,10.32,9.82,9.06,8.4,7.67,7.03,6.1,6.25,6.17,6.05,6.01,5.99,5.84,5.84,5.65,4.76,4.16,4.77,4.74,BLR,Europe,Eastern Europe,8.720967741935485,-11.66,6.01,1.4800000000000004
14,Belgium,BEL,6.99,6.7,8.08,9.65,9.34,9.48,8.96,9.32,8.65,6.59,6.18,6.91,7.68,7.36,8.44,8.25,7.46,6.98,7.91,8.29,7.14,7.54,8.43,8.52,8.48,7.83,7.09,5.95,5.36,5.55,6.42,BEL,Europe,Western Europe,7.66225806451613,0.40000000000000036,-1.6999999999999993,2.7399999999999993
15,Belize,BLZ,9.7,9.69,9.78,11.1,12.48,13.82,12.68,14.31,12.84,10.85,9.07,10.04,10.24,10.59,10.91,9.39,8.51,8.18,8.25,8.24,8.28,8.31,8.35,8.24,7.58,7.0,6.6,6.64,6.71,8.46,8.22,BLZ,Americas,Central America,9.518064516129034,-1.1500000000000004,2.6099999999999994,-0.22000000000000064
16,Benin,BEN,1.49,1.51,1.41,1.36,1.25,1.18,1.1,1.02,0.94,0.85,0.77,0.69,0.74,0.77,0.82,0.86,0.89,0.94,1.0,1.04,2.65,2.47,2.29,2.13,2.01,1.83,1.64,1.47,1.47,1.58,1.57,BEN,Africa,Western Africa,1.3464516129032253,0.64,-0.19000000000000006,-0.54
