,country_name,country_code,2005,2007,2008,2010,2012,2014,continent,sub_region,median_avg,pre_financial,post_financial,recovered_yr,recovered_yr_2014
0,Afghanistan,AFG,11.22,11.3,11.09,11.35,11.34,11.14,Asia,Southern Asia,11.2,-0.13000000000000078,-0.2599999999999998,-0.25,-0.05000000000000071
1,Albania,ALB,15.97,15.97,13.06,14.09,13.38,18.05,Europe,Southern Europe,14.52,-2.91,-1.0299999999999994,-0.3200000000000003,-4.99
2,Algeria,DZA,15.27,13.79,11.33,9.96,10.97,10.21,Africa,Northern Africa,12.56,-3.9399999999999995,1.3699999999999992,0.35999999999999943,1.1199999999999992
3,Angola,AGO,3.88,3.82,3.79,9.43,7.35,7.37,Africa,Middle Africa,3.8,-0.08999999999999986,-5.64,-3.5599999999999996,-3.58
4,Argentina,ARG,11.51,8.47,7.84,7.71,7.22,7.27,Americas,South America,8.16,-3.67,0.1299999999999999,0.6200000000000001,0.5700000000000003
5,Armenia,ARM,10.2,9.81,14.39,19.01,17.3,17.5,Asia,Western Asia,12.1,4.190000000000001,-4.620000000000001,-2.91,-3.1099999999999994
6,Australia,AUS,5.03,4.38,4.23,5.21,5.22,6.08,Oceania,Australia and New Zealand,4.3,-0.7999999999999998,-0.9799999999999995,-0.9899999999999993,-1.8499999999999996
7,Austria,AUT,5.63,4.86,4.13,4.82,4.87,5.62,Europe,Western Europe,4.5,-1.5,-0.6900000000000004,-0.7400000000000002,-1.4900000000000002
8,Azerbaijan,AZE,7.26,6.33,5.86,5.63,5.19,4.91,Asia,Western Asia,6.1,-1.3999999999999995,0.23000000000000043,0.6699999999999999,0.9500000000000002
9,"Bahamas, The",BHS,10.2,7.88,8.18,14.31,14.02,13.8,Americas,Caribbean,8.03,-2.0199999999999996,-6.130000000000001,-5.84,-5.620000000000001
10,Bahrain,BHR,1.09,1.09,1.11,1.13,1.2,1.19,Asia,Western Asia,1.1,0.020000000000000018,-0.019999999999999796,-0.08999999999999986,-0.07999999999999985
11,Bangladesh,BGD,4.25,4.13,4.57,3.38,4.12,4.38,Asia,Southern Asia,4.35,0.3200000000000003,1.1900000000000004,0.4500000000000002,0.1900000000000004
12,Barbados,BRB,9.08,7.41,8.12,10.69,11.59,12.17,Americas,Caribbean,7.76,-0.9600000000000009,-2.5700000000000003,-3.4700000000000006,-4.050000000000001
13,Belarus,BLR,9.06,7.67,7.03,6.25,6.05,5.99,Europe,Eastern Europe,7.35,-2.0300000000000002,0.7800000000000002,0.9800000000000004,1.04
14,Belgium,BEL,8.44,7.46,6.98,8.29,7.54,8.52,Europe,Western Europe,7.22,-1.459999999999999,-1.3099999999999987,-0.5599999999999996,-1.5399999999999991
15,Belize,BLZ,10.91,8.51,8.18,8.24,8.31,8.24,Americas,Central America,8.34,-2.7300000000000004,-0.0600000000000005,-0.13000000000000078,-0.0600000000000005
16,Benin,BEN,0.82,0.89,0.94,1.04,2.47,2.13,Africa,Western Africa,0.92,0.12,-0.10000000000000009,-1.5300000000000002,-1.19
17,Bhutan,BTN,3.1,3.7,3.65,3.32,2.05,2.63,Asia,Southern Asia,3.68,0.5499999999999998,0.33000000000000007,1.6,1.02
18,Bolivia,BOL,2.54,2.65,2.6,2.61,2.07,2.02,Americas,South America,2.62,0.06000000000000005,-0.009999999999999787,0.5300000000000002,0.5800000000000001
19,Bosnia and Herzegovina,BIH,30.41,28.98,23.41,27.31,28.01,27.52,Europe,Southern Europe,26.2,-7.0,-3.8999999999999986,-4.600000000000001,-4.109999999999999
20,Botswana,BWA,19.81,17.2,16.64,17.86,18.95,19.99,Africa,Southern Africa,16.92,-3.169999999999998,-1.2199999999999989,-2.3099999999999987,-3.349999999999998
21,Brazil,BRA,9.57,8.33,7.34,7.27,7.19,6.66,Americas,South America,7.84,-2.2300000000000004,0.07000000000000028,0.14999999999999947,0.6799999999999997
22,Brunei Darussalam,BRN,6.13,6.33,6.35,6.77,6.92,6.97,Asia,South-Eastern Asia,6.34,0.21999999999999975,-0.41999999999999993,-0.5700000000000003,-0.6200000000000001
23,Bulgaria,BGR,10.08,6.88,5.61,10.28,12.27,11.42,Europe,Eastern Europe,6.24,-4.47,-4.669999999999999,-6.659999999999999,-5.81
24,Burkina Faso,BFA,4.0,3.3,3.41,3.64,3.91,4.19,Africa,Western Africa,3.36,-0.5899999999999999,-0.22999999999999998,-0.5,-0.7800000000000002
25,Burundi,BDI,1.62,1.63,1.63,1.61,1.59,1.57,Africa,Eastern Africa,1.63,0.009999999999999787,0.019999999999999796,0.039999999999999813,0.05999999999999983
26,Cabo Verde,CPV,10.85,10.73,10.73,10.67,11.12,11.57,Africa,Western Africa,10.73,-0.11999999999999922,0.0600000000000005,-0.3899999999999988,-0.8399999999999999
27,Cambodia,KHM,1.13,1.26,0.82,0.77,0.51,0.69,Asia,South-Eastern Asia,1.04,-0.30999999999999994,0.04999999999999993,0.30999999999999994,0.13
28,Cameroon,CMR,4.4,3.06,3.41,4.11,3.82,3.53,Africa,Middle Africa,3.24,-0.9900000000000002,-0.7000000000000002,-0.4099999999999997,-0.11999999999999966
29,Canada,CAN,6.76,6.04,6.14,8.06,7.29,6.91,Americas,Northern America,6.09,-0.6200000000000001,-1.9200000000000008,-1.1500000000000004,-0.7700000000000005
30,Central African Republic,CAF,5.7,5.61,5.47,5.67,5.55,5.53,Africa,Middle Africa,5.54,-0.23000000000000043,-0.20000000000000018,-0.08000000000000007,-0.0600000000000005
31,Chad,TCD,0.87,0.93,0.94,0.96,1.01,1.05,Africa,Middle Africa,0.94,0.06999999999999995,-0.020000000000000018,-0.07000000000000006,-0.1100000000000001
32,Chile,CHL,9.34,8.43,9.29,8.42,6.66,6.66,Americas,South America,8.86,-0.05000000000000071,0.8699999999999992,2.629999999999999,2.629999999999999
