,Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,continent,sub_region,average,91-20,20-21,21-22
4,Argentina,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15.0,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,7.52,8.11,8.35,9.22,9.84,11.46,10.9,Americas,South America,10.977741935483872,-9.56,7.29,-3.750000000000001
6,Australia,9.58,10.73,10.87,9.72,8.47,8.51,8.36,7.68,6.87,6.28,6.74,6.37,5.93,5.39,5.03,4.78,4.38,4.23,5.56,5.21,5.08,5.22,5.66,6.08,6.05,5.71,5.59,5.3,5.16,6.46,5.11,Oceania,Australia and New Zealand,6.519677419354841,3.3,1.0700000000000005,-1.25
21,Brazil,6.31,6.42,6.03,6.17,6.42,7.25,8.16,9.42,10.21,9.56,9.61,9.37,9.99,9.11,9.57,8.64,8.33,7.34,8.52,7.27,6.92,7.19,6.98,6.66,8.43,11.6,12.82,12.33,11.93,13.69,14.4,Americas,South America,8.924193548387098,-3.250000000000001,2.290000000000001,-6.42
29,Canada,10.32,11.2,11.38,10.4,9.49,9.62,9.1,8.28,7.58,6.83,7.22,7.66,7.57,7.19,6.76,6.32,6.04,6.14,8.34,8.06,7.51,7.29,7.07,6.91,6.91,7.0,6.34,5.83,5.66,9.46,7.51,Americas,Northern America,7.838387096774191,3.49,-1.2300000000000004,-1.4000000000000004
33,China,2.37,2.37,2.69,2.9,3.0,3.12,3.23,3.24,3.25,3.26,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.72,4.53,4.55,4.57,4.59,4.61,4.63,4.53,4.44,4.28,4.52,5.0,4.82,Asia,Eastern Asia,4.007096774193548,-0.8899999999999997,-1.2700000000000005,-0.4699999999999997
57,France,9.13,10.21,11.32,12.59,11.84,12.37,12.57,12.07,11.98,10.22,8.61,8.7,8.31,8.91,8.49,8.45,7.66,7.06,8.74,8.87,8.81,9.4,9.92,10.29,10.35,10.05,9.41,9.02,8.41,8.01,8.06,Europe,Western Europe,9.671935483870968,-1.09,1.3500000000000014,0.8599999999999994
62,Germany,5.32,6.32,7.68,8.73,8.16,8.82,9.86,9.79,8.86,7.92,7.77,8.48,9.78,10.73,11.17,10.25,8.66,7.52,7.74,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,3.81,3.54,Europe,Western Europe,7.041935483870967,-2.6,0.9500000000000002,3.16
75,India,5.6,5.73,5.69,5.74,5.76,5.74,5.61,5.67,5.74,5.56,5.58,5.53,5.64,5.63,5.61,5.6,5.57,5.41,5.54,5.55,5.43,5.41,5.42,5.44,5.43,5.42,5.36,5.33,5.27,8.0,5.98,Asia,Southern Asia,5.64483870967742,0.04,0.0099999999999997,-2.45
76,Indonesia,2.62,2.73,2.78,4.37,4.6,4.86,4.68,5.46,6.36,6.08,6.08,6.6,6.66,7.3,7.94,7.55,8.06,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.3,3.88,4.4,3.62,4.28,4.41,Asia,South-Eastern Asia,5.195806451612903,-3.46,0.4699999999999997,1.33
81,Italy,10.1,9.33,10.24,11.09,11.67,11.87,12.0,12.12,11.69,10.84,9.6,9.21,8.87,7.87,7.73,6.78,6.08,6.72,7.75,8.36,8.36,10.65,12.15,12.68,11.9,11.69,11.21,10.61,9.95,9.16,9.83,Europe,Southern Europe,9.939032258064518,-0.7400000000000002,2.4800000000000004,-0.8000000000000007
