,country,11-12,12-13,13-14,14-15,15-16,16-17,18-19,19-20,20-21,Good,Bad
52,Estonia,2.31,1.39,1.28,1.16,-0.57,1.0,0.39,0.92,-2.35,1,9
97,Lithuania,2.03,1.59,1.07,1.58,1.26,0.79,0.92,-0.11,-2.23,1,9
1,Albania,0.1,-2.49,-2.18,0.86,1.77,1.8,1.32,0.83,-1.86,1,9
92,Latvia,1.16,3.18,1.02,0.98,0.23,0.92,1.31,1.1,-1.79,1,9
5,Armenia,1.14,1.12,-1.32,-0.76,0.64,-0.08,-1.27,0.67,-2.91,1,9
133,Portugal,-2.85,-0.65,2.29,1.45,1.37,2.2,1.88,0.53,-0.33,1,9
147,Slovenia,-0.67,-1.26,0.43,0.71,0.96,1.44,1.45,0.66,-0.52,1,9
79,Ireland,-0.1,1.72,1.87,1.95,1.54,1.66,0.97,0.79,-0.67,1,9
40,Croatia,-2.25,-1.32,-0.04,1.11,3.08,1.89,2.78,1.81,-0.89,1,9
42,Cyprus,-3.94,-4.07,-0.22,1.18,1.96,1.9,2.68,1.3,-0.52,1,9
115,Namibia,2.69,-2.26,0.51,-2.39,-2.44,1.71,1.76,-0.11,-1.46,1,9
