,country,11-12,12-13,13-14,14-15,15-16,16-17,18-19,19-20,20-21,Good,Bad
102,Malaysia,-0.05,-0.06,0.28,-0.22,-0.34,0.03,0.11,0.04,-1.24,8,2
59,Gabon,-0.06,-0.03,-0.05,-0.04,-0.06,-0.05,-0.03,0.01,-1.23,8,2
60,"Gambia, The",0.09,-0.03,-0.05,0.03,-0.03,0.02,0.0,-0.02,-1.58,8,2
90,Kyrgyz Republic,0.1,0.1,0.28,0.49,0.35,0.32,0.0,-0.03,-1.79,8,2
66,Guatemala,0.33,-0.26,0.3,0.21,-0.07,0.12,0.18,0.09,-1.36,8,2
67,Guinea,-0.03,-0.05,-0.03,-0.02,0.04,-0.03,-0.07,-0.04,-1.08,8,2
68,Guinea-Bissau,0.11,0.06,0.01,-0.07,-0.08,-0.04,0.01,-0.06,-0.7,8,2
69,Guyana,-0.28,-0.29,-0.29,-0.29,-0.25,-0.29,-0.27,0.03,-2.44,8,2
70,Haiti,0.43,0.1,0.05,-0.01,0.03,0.05,0.02,-0.05,-1.54,8,2
72,"Hong Kong SAR, China",0.13,-0.11,0.1,-0.01,-0.08,0.26,0.31,-0.11,-2.9,8,2
75,India,0.02,-0.01,-0.02,0.01,0.01,0.06,0.03,0.06,-2.73,8,2
101,Malawi,-0.03,0.0,0.05,0.04,0.04,0.06,0.0,0.01,-0.95,8,2
119,New Zealand,-0.44,1.09,0.41,0.02,0.26,0.41,0.41,0.22,-0.48,8,2
104,Mali,0.25,0.3,-0.03,-1.35,0.16,0.16,-0.02,-0.01,-0.26,8,2
151,South Sudan,0.0,0.07,-0.06,-0.08,-0.03,0.05,0.01,0.01,-1.8,8,2
170,Turkmenistan,0.0,-0.02,-0.03,0.0,-0.03,-0.03,-0.03,-0.04,-0.68,8,2
166,Tonga,-0.28,-0.17,-0.13,-0.18,-0.02,-0.25,-0.25,0.01,-0.57,8,2
162,Tanzania,0.24,0.3,0.81,-0.02,-0.02,-0.02,-0.03,-0.01,-0.31,8,2
160,Syrian Arab Republic,-0.11,-0.02,0.11,0.01,-0.02,-0.02,-0.01,-0.01,-1.49,8,2
156,Sudan,-0.01,0.04,-0.02,-0.06,-0.03,-0.01,-0.05,-0.07,-2.0,8,2
155,St. Vincent and the Grenadines,0.02,-0.02,-0.06,-0.04,-0.02,-0.07,0.0,-0.1,-1.72,8,2
153,Sri Lanka,0.24,-0.36,0.05,-0.33,0.28,0.19,-0.27,-0.03,-1.53,8,2
149,Somalia,0.01,0.02,0.02,0.03,0.01,0.01,0.03,0.02,-0.89,8,2
106,Mauritania,0.0,-0.1,-0.09,-0.09,-0.12,-0.08,-0.05,0.0,-0.88,8,2
144,Sierra Leone,-0.11,-0.11,-0.17,-0.06,0.08,0.0,0.0,0.01,-0.55,8,2
141,Saudi Arabia,0.25,-0.05,-0.15,0.13,-0.06,-0.24,-0.15,0.37,-1.78,8,2
131,Philippines,0.09,0.0,-0.1,0.53,0.37,0.15,0.21,0.1,-0.28,8,2
130,Peru,0.24,-0.33,0.36,-0.06,-0.47,0.05,0.2,0.11,-3.8,8,2
118,New Caledonia,-0.28,-0.12,-0.12,-0.14,0.04,-0.09,-0.07,-0.06,-1.52,8,2
116,Nepal,-0.3,-0.22,-0.39,-0.16,0.23,-0.45,0.13,0.09,-1.62,8,2
112,Morocco,-0.08,-0.24,-0.47,0.24,0.16,0.06,-0.03,-0.01,-2.17,8,2
58,French Polynesia,0.08,0.04,-0.03,0.03,-0.01,-0.03,-0.04,-0.05,-1.8,8,2
185,Zimbabwe,0.22,0.17,0.21,-0.01,-0.01,0.01,-0.02,-0.03,-0.52,8,2
11,Bangladesh,-0.35,-0.31,0.05,0.01,0.02,-0.02,-0.04,-0.03,-0.97,8,2
51,Eritrea,-0.01,-0.05,-0.09,-0.16,-0.07,-0.04,-0.01,-0.04,-1.87,8,2
6,Australia,-0.14,-0.44,-0.42,0.03,0.34,0.12,0.29,0.14,-1.3,8,2
8,Azerbaijan,0.23,0.22,0.06,-0.05,-0.04,0.0,0.1,0.05,-1.61,8,2
26,Cabo Verde,-0.24,-0.23,-0.22,-0.23,-0.21,-0.23,0.07,-0.05,-3.09,8,2
10,Bahrain,-0.02,0.02,-0.01,-0.01,0.01,0.01,-0.02,0.0,-0.58,8,2
30,Central African Republic,0.06,0.03,-0.01,-0.08,-0.04,0.0,0.04,-0.01,-0.74,8,2
49,El Salvador,0.46,0.15,-0.46,0.15,-0.42,0.03,0.38,-0.16,-2.08,8,2
50,Equatorial Guinea,0.12,0.1,0.03,-0.06,-0.09,-0.02,0.03,-0.06,-1.22,8,2
3,Angola,0.01,-0.02,0.0,-0.02,-0.02,0.0,-0.01,0.0,-0.91,8,2
45,Djibouti,0.11,0.14,0.16,0.15,0.14,0.13,-0.13,-0.17,-2.03,8,2
31,Chad,-0.01,-0.02,-0.02,-0.02,-0.03,-0.02,-0.01,0.01,-0.62,8,2
35,Comoros,-0.36,-0.35,-0.38,0.0,0.04,0.01,0.01,0.0,-1.14,8,2
27,Cambodia,0.07,0.07,-0.25,0.3,-0.33,0.58,0.0,-0.01,-0.18,8,2
37,"Congo, Rep.",0.0,-0.14,0.01,-0.14,-0.11,0.0,-0.05,-0.01,-2.22,8,2
36,"Congo, Dem. Rep.",-0.24,0.01,0.02,-0.01,-0.01,0.01,0.02,0.0,-0.82,8,2
54,Ethiopia,0.02,0.04,-0.01,-0.01,-0.02,-0.01,-0.02,-0.01,-0.91,8,2
