,country,11-12,12-13,13-14,14-15,15-16,16-17,18-19,19-20,20-21,Good,Bad
0,Afghanistan,-0.29,0.15,0.05,0.01,-0.03,-0.02,0.03,-0.07,-0.49,9,1
83,Japan,0.19,0.36,0.4,0.2,0.3,0.3,0.4,0.0,-0.4,9,1
33,China,-0.02,-0.02,-0.02,-0.02,0.1,0.09,0.16,-0.24,-0.48,9,1
96,Libya,0.36,-0.42,-0.01,-0.07,0.0,0.16,-0.08,-0.21,-0.41,9,1
113,Mozambique,-0.04,-0.04,-0.04,-0.05,-0.02,0.0,-0.01,-0.01,-0.34,9,1
91,Lao PDR,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02,-0.18,9,1
28,Cameroon,0.14,0.15,0.14,-0.02,-0.03,-0.02,-0.02,-0.02,-0.2,9,1
55,Fiji,-0.01,0.09,0.04,-0.01,-0.02,0.04,-0.05,-0.12,-0.27,9,1
128,Papua New Guinea,0.08,-0.01,0.17,-0.1,0.0,-0.03,-0.05,0.11,-0.15,9,1
25,Burundi,0.01,0.01,0.01,-0.03,0.01,0.0,0.0,0.0,-0.12,9,1
24,Burkina Faso,-0.12,-0.14,-0.14,-0.13,-0.11,-0.13,-0.13,0.0,-0.2,9,1
88,"Korea, Rep.",0.18,0.06,-0.33,-0.47,-0.1,0.0,-0.17,0.07,-0.18,9,1
87,"Korea, Dem. People's Rep.",-0.03,0.01,0.06,0.0,-0.02,0.06,0.07,0.04,-0.33,9,1
135,Qatar,0.08,0.2,0.08,0.03,0.02,0.01,0.03,0.01,-0.11,9,1
138,Rwanda,-0.02,-0.03,-0.02,0.02,0.01,0.0,0.03,0.01,-0.39,9,1
85,Kazakhstan,0.1,0.09,0.14,0.13,-0.03,0.06,0.05,0.05,-0.09,9,1
148,Solomon Islands,0.25,0.36,-0.04,0.0,0.03,-0.01,-0.01,-0.03,-0.17,9,1
163,Thailand,0.08,0.33,-0.33,-0.02,-0.09,-0.14,0.06,0.05,-0.38,9,1
183,"Yemen, Rep.",0.06,-0.1,-0.2,-0.3,0.34,0.13,0.15,0.09,-0.33,9,1
178,Vanuatu,-0.04,-0.01,0.05,-0.05,0.08,0.03,-0.06,0.01,-0.32,9,1
159,Switzerland,-0.08,-0.27,-0.08,0.03,-0.12,0.12,0.09,0.32,-0.43,9,1
164,Timor-Leste,-0.21,-0.26,-0.19,-0.24,-0.21,-0.1,0.03,0.22,-0.4,9,1
16,Benin,0.18,0.18,0.16,0.12,0.18,0.19,0.17,0.0,-0.11,9,1
