,country,11-12,12-13,13-14,14-15,15-16,16-17,18-19,19-20,20-21,Good,Bad
98,Luxembourg,-0.24,-0.71,0.0,-0.82,0.38,0.77,-0.07,0.0,-1.18,5,5
57,France,-0.59,-0.52,-0.37,-0.06,0.3,0.64,0.39,0.61,0.4,5,5
172,Ukraine,0.32,0.36,-2.1,0.13,-0.21,-0.15,0.7,0.61,-0.94,5,5
76,Indonesia,0.68,0.13,0.29,-0.46,0.21,0.42,-0.52,0.78,-0.66,5,5
77,"Iran, Islamic Rep.",0.22,1.67,-0.08,-0.49,-1.45,0.39,0.04,1.45,-1.43,5,5
78,Iraq,0.16,-1.3,-1.33,-0.14,-0.09,-2.2,0.05,0.11,-1.23,5,5
122,Nigeria,0.03,0.04,-0.86,0.25,-2.75,-1.33,-0.07,-0.07,-1.18,5,5
80,Israel,0.28,0.65,0.32,0.64,0.45,0.58,0.22,0.2,-0.53,5,5
157,Suriname,-0.56,1.5,-0.34,-0.28,-0.7,0.02,-0.03,-0.11,-1.74,5,5
4,Argentina,-0.04,0.12,-0.17,-0.25,-0.59,-0.24,-0.87,-0.62,-1.62,5,5
168,Tunisia,0.7,1.7,0.87,-0.1,-0.4,0.23,-0.13,0.33,-1.46,5,5
150,South Africa,-0.09,0.17,-0.33,-0.26,-1.39,-0.5,0.13,-1.56,-0.75,5,5
86,Kenya,0.01,0.02,0.01,0.02,0.02,-0.75,-0.74,-0.76,-0.72,5,5
111,Montenegro,-0.3,0.47,1.5,0.46,-0.18,1.65,0.9,0.05,-2.78,5,5
12,Barbados,-0.4,0.04,-0.62,2.37,1.55,-0.37,0.3,-0.09,-1.97,5,5
21,Brazil,-0.27,0.21,0.32,-1.77,-3.17,-1.22,0.49,0.4,-1.76,5,5
38,Costa Rica,0.36,1.01,-0.29,0.06,0.4,0.46,-1.49,-1.86,-5.92,5,5
136,Romania,0.39,-0.31,0.3,-0.01,0.91,0.97,0.74,0.28,-1.12,5,5
